Histórico de cotações - BBAS3;
Date;value
11/07/2018;29,62
10/07/2018;29,61
06/07/2018;29,47
05/07/2018;30,12
04/07/2018;30,06
03/07/2018;29,78
02/07/2018;28,81
29/06/2018;28,56
28/06/2018;27,55
27/06/2018;27,42
26/06/2018;27,1
25/06/2018;26,37
22/06/2018;26,21
21/06/2018;26,33
20/06/2018;26,61
19/06/2018;25,97
18/06/2018;24,83
15/06/2018;24,86
14/06/2018;25,87
13/06/2018;26,54
12/06/2018;26,73
11/06/2018;26,57
08/06/2018;26,69
07/06/2018;26,25
06/06/2018;28,22
05/06/2018;29,91
04/06/2018;31,1
01/06/2018;29,99
30/05/2018;29,74
29/05/2018;28,39
28/05/2018;28,4
25/05/2018;30,58
24/05/2018;30,7
23/05/2018;31,8
22/05/2018;32,41
21/05/2018;32,34
18/05/2018;32,29
17/05/2018;33,25
16/05/2018;34,48
15/05/2018;33,93
14/05/2018;35,2
11/05/2018;36,02
10/05/2018;36,15
09/05/2018;36,62
08/05/2018;35,58
07/05/2018;35,22
04/05/2018;34,95
03/05/2018;35,34
02/05/2018;36,11
30/04/2018;36,9
27/04/2018;37,5
26/04/2018;37,29
25/04/2018;36,47
24/04/2018;36,72
23/04/2018;36,86
20/04/2018;37,64
19/04/2018;37,82
18/04/2018;38,13
17/04/2018;36,88
16/04/2018;36,88
13/04/2018;38,05
12/04/2018;39,16
11/04/2018;39,14
10/04/2018;38,69
09/04/2018;39,47
06/04/2018;40,51
05/04/2018;41,31
04/04/2018;39,29
03/04/2018;40,11
02/04/2018;40,56
29/03/2018;41,04
28/03/2018;40,13
27/03/2018;40,88
26/03/2018;41,49
23/03/2018;41,37
22/03/2018;41,9
21/03/2018;41,7
20/03/2018;41,43
19/03/2018;41,75
16/03/2018;42,46
15/03/2018;42,12
14/03/2018;42,36
13/03/2018;43
12/03/2018;43,3
12/03/2018;43,3
09/03/2018;43,68
08/03/2018;43,59
07/03/2018;43,08
06/03/2018;43,6
05/03/2018;42,48
02/03/2018;41,84
01/03/2018;42
28/02/2018;42,02
27/02/2018;42,77
26/02/2018;42,9
23/02/2018;42,33
22/02/2018;42,69
21/02/2018;41,09
20/02/2018;40,17
19/02/2018;39,89
16/02/2018;40,04
15/02/2018;39,9
14/02/2018;38,88
09/02/2018;37,96
08/02/2018;39,3
07/02/2018;40,05
06/02/2018;38,84
05/02/2018;38,78
02/02/2018;39,28
01/02/2018;39,84
31/01/2018;39,89
30/01/2018;38,71
29/01/2018;38,95
26/01/2018;38,93
24/01/2018;37,01
23/01/2018;35,09
22/01/2018;34,85
19/01/2018;35,21
18/01/2018;35,19
17/01/2018;34,99
16/01/2018;34,55
15/01/2018;34,31
12/01/2018;33,91
11/01/2018;33,8
10/01/2018;33,38
09/01/2018;33,56
08/01/2018;33,63
05/01/2018;33,61
04/01/2018;33,8
03/01/2018;33,18
02/01/2018;32,72
28/12/2017;32,06
27/12/2017;31,99
26/12/2017;31,66
22/12/2017;31,31
21/12/2017;31,23
20/12/2017;30,99
19/12/2017;30,86
18/12/2017;31,01
15/12/2017;30,65
14/12/2017;30,39
13/12/2017;31,34
12/12/2017;30,6
11/12/2017;31,14
08/12/2017;31,35
07/12/2017;30,92
06/12/2017;31,21
05/12/2017;31,7
04/12/2017;31,63
01/12/2017;30,48
30/11/2017;30,36
29/11/2017;31,82
28/11/2017;32,71
27/11/2017;32,07
24/11/2017;32,55
23/11/2017;32,48
22/11/2017;32,83
21/11/2017;33,15
17/11/2017;32,43
16/11/2017;31,66
14/11/2017;31,19
13/11/2017;31,08
10/11/2017;31,42
09/11/2017;32,64
08/11/2017;32,32
07/11/2017;31,91
06/11/2017;33,11
03/11/2017;33,64
